Date,Container,GCTI,CCFI,SCFI,IPI_TW,Retail sales index_EU,Retail value_CN,Export_ basemetals ,Import_chemical,Retail sales index_US,Container_SeasonIndex,Export_chemical,Import_ base metals ,Import_vegetable of products,WTI crude Oil,Export_ plastics
2011/1/1,530164083.3,89.24198206,1060.295,1109.845,92.7,96.8,15200,1240612.163,1109907.472,90.94743742,0.869712561,1173213.554,1620280.712,824750.57,89.51,805484.058
2011/2/1,442050146.3,86.96977661,1054.29,1075.9,78.93,97.8,13800,995734.304,991917.109,91.20203888,0.903261697,1227306.535,1325341.603,535623.84,89.37,741311.671
2011/3/1,458910901.1,87.92307841,1027.18,991.71,96.51,96.8,13600,1257473.888,1164160.707,91.60509465,0.903261697,1264016.861,1474811.593,742020.688,102.92,892948.054
2011/4/1,521655176,89.97962018,1005.88,1021.66,92.21,98.1,13600,1228518.598,1123923.601,91.72151967,0.903261697,1225712.722,1524629.227,752020.351,110.04,840144.561
2011/5/1,521870479.6,89.88064899,1010.53,1072.655,94.76,96.3,14700,1208753.467,1156190.274,91.34800663,1.064506584,1169127.717,1548946.426,1026051.07,101.25,829182.956
2011/6/1,530635299.4,90.17802713,998.98,1039.145,92.73,97.3,14600,1073014.045,1003087.567,91.92946305,1.064506584,870456.244,1320121.837,775890.798,96.25,724923.91
2011/7/1,526166118,91.39271643,982.13,1016.87,93.64,97.6,14400,1280848.205,1021969.551,91.9681369,1.064506584,953371.082,1266856.398,785944.9,97.19,897337.973
2011/8/1,520844989.3,90.2301533,987.245,1048.67,91.67,97.5,14700,1188578.75,1158009.3,91.6271083,1.162519158,1072695.763,1435000.212,739943.877,86.32,770780.694
2011/9/1,484694267.9,91.27601279,992.99,1020.38,86.27,97.6,15900,1147222.749,1129262.152,92.20832325,1.162519158,881024.874,1295775.735,769175.195,85.62,667151.327
2011/10/1,494560586.5,91.74736329,959.18,943.35,89.04,98.2,16500,1246833.402,1237055.452,93.24153371,1.162519158,1077808.359,1365788.162,677569.514,86.41,761716.676
